Date,Price (USD),open,high,low,Vol.,tradecount,Daily Change
5/11/19,9308.66,9392.4,9454.95,9175.76,428156963.1,492885,-0.009015953
6/11/19,9339.05,9307.73,9440.91,9250.01,348607499.8,402997,0.003264702
7/11/19,9216.2,9339.16,9375,9101,361217475.1,401984,-0.013154443
8/11/19,8773.73,9214,9261,8696,555589996,567331,-0.048010026
9/11/19,8809.41,8773.74,8880,8724.88,259733491.8,326730,0.004066685
10/11/19,9039.47,8809.18,9147.19,8750,307316853.9,375946,0.026115256
11/11/19,8733.27,9040.16,9072.32,8618.68,394585996.3,415982,-0.033873667
12/11/19,8821.94,8733.36,8888,8567.6,352675938.4,406765,0.010153127
13/11/19,8777.12,8821.91,8844.99,8702,235060554.1,281593,-0.005080515
14/11/19,8646.68,8777.54,8800,8582.6,290104307,337019,-0.014861367
15/11/19,8471.73,8646.38,8790,8400,394708981.3,423919,-0.020233199
16/11/19,8491.02,8471.62,8543,8400,177222838.4,231473,0.002276985
17/11/19,8502.4,8490.74,8635,8350.68,229995700.8,259594,0.001340239
18/11/19,8187.17,8502.87,8503.52,8060,358706174.8,366263,-0.037075414
19/11/19,8133.64,8186.5,8218.63,8003,353463792,357382,-0.006538279
20/11/19,8098.01,8133.83,8264.29,8038.4,263387575.5,288843,-0.004380573
21/11/19,7627.74,8098.56,8134.73,7500,455166676.3,430062,-0.058072292
22/11/19,7268.23,7627.79,7750,6790,917881536.3,817604,-0.047131916
23/11/19,7311.57,7268.23,7344.48,7080.01,364446217.4,414045,0.005962937
24/11/19,6903.28,7311.1,7330.39,6861,481922941.3,446014,-0.055841632
25/11/19,7109.57,6900.23,7377.69,6515,831628458.3,679721,0.029882896
26/11/19,7156.14,7109.99,7340,7017.48,469602476.9,433933,0.006550326
27/11/19,7508.52,7154.75,7655,6840,671646609.2,582055,0.04924163
28/11/19,7419.49,7507.9,7643,7360,427572714.9,388953,-0.011857197
29/11/19,7739.68,7418.52,7850,7362.3,463006956.7,412929,0.043155257
30/11/19,7541.89,7740.99,7810,7441,358749026.4,346506,-0.02555532
1/12/19,7390.89,7540.63,7541.85,7210,446524917.2,420573,-0.020021507
2/12/19,7294.28,7391.5,7420.56,7151.1,337889295.5,326881,-0.013071497
3/12/19,7292.71,7294.42,7400,7241.35,242379261.1,265391,-0.000215237
4/12/19,7194.32,7292.71,7750,7067,608623482.8,516158,-0.013491555
5/12/19,7389,7194.59,7485,7150,434738864.8,430359,0.027060236
6/12/19,7527.47,7389,7590.03,7305,356905919,367854,0.018740019
7/12/19,7488.21,7527.8,7619.62,7470.16,237000924.9,263592,-0.005215564
8/12/19,7510.11,7487.31,7564,7374.86,223314325.6,257514,0.002924597
9/12/19,7338.64,7510.11,7650,7273,347471155.5,359648,-0.022831889
10/12/19,7224.13,7338.64,7407.6,7157.1,363127435.4,439637,-0.015603709
11/12/19,7210,7224.15,7275.5,7125.66,217095653.9,268269,-0.001955945
12/12/19,7198.08,7210,7295,7080.3,303657479.5,331414,-0.001653259
13/12/19,7258.48,7197.76,7309.05,7190.76,199836160.2,252135,0.008391127
14/12/19,7064.05,7257.37,7271.77,7012,211004228,276819,-0.0267866
15/12/19,7118.59,7064.14,7200.3,7008.35,187402764.6,262651,0.007720783
16/12/19,6891.72,7119.6,7150,6836,307508569.9,371202,-0.031870075
17/12/19,6623.82,6891.44,6942.21,6560,364087469.8,454097,-0.038872734
18/12/19,7277.83,6623.84,7440,6435,654057202.2,714073,0.098736077
19/12/19,7150.3,7277.83,7380,7038.31,397407677.1,439761,-0.01752308
20/12/19,7187.83,7151.31,7220,7079.5,229842650.4,312766,0.005248731
21/12/19,7132.75,7188.01,7190.58,7105,139069157.1,212162,-0.007662953
22/12/19,7501.44,7131.59,7518.54,7122.47,285577206.9,356612,0.051689741
23/12/19,7317.09,7500.71,7695.38,7265.84,510710431.8,530669,-0.024575282
24/12/19,7255.77,7317.3,7436.68,7157.04,318428019,384678,-0.008380381
25/12/19,7204.63,7255.77,7271.77,7128.86,198273303.1,289924,-0.007048184
26/12/19,7202,7205.01,7435,7157.12,263289799,337695,-0.000365043
27/12/19,7254.74,7202,7275.86,7076.42,242214722.7,297262,0.007322966
28/12/19,7316.14,7254.77,7365.01,7238.67,196322192.4,272607,0.008463432
29/12/19,7388.24,7315.36,7528.45,7288,231731575.8,283213,0.009854923
