date,open,high,low,close,volume,tradecount
4/05/2021,57169.39,57200,53046.69,53200.01,4705402064,2492629
3/05/2021,56578.21,58981.44,56435,57169.39,3337604543,2102128
2/05/2021,57797.35,57911.02,56035.25,56578.21,2089763230,1371638
1/05/2021,57697.25,58458.07,56956.14,57800.37,2460342955,1743013
30/04/2021,53555,57963,53013.01,57694.27,3808187373,2267648
29/04/2021,54846.23,55195.84,52330.94,53555,2823220335,1763676
28/04/2021,55011.97,56428,53813.16,54846.22,3020242788,1830042
27/04/2021,54001.38,55460,53222,55011.97,2949719328,1568666
26/04/2021,49066.76,54356.62,48753.44,54001.39,4555688503,2174544
25/04/2021,50047.84,50567.91,46930,49066.77,2867858315,1475479
24/04/2021,51110.56,51166.22,48657.14,50047.84,2762081003,1164985
23/04/2021,51690.95,52131.85,47500,51125.14,6571097317,2888237
22/04/2021,53787.62,55521.48,50500,51690.96,5594983857,2744621
21/04/2021,56425,56757.91,53536.02,53787.63,3704549579,2134946
20/04/2021,55633.14,57076.24,53329.96,56425,4037701392,2148820
19/04/2021,56150.01,57526.81,54221.58,55633.14,4398619581,2390527
18/04/2021,60006.67,60499,50931.3,56150.01,6949379727,3444089
17/04/2021,61334.81,62506.05,59580.91,60006.66,3605701811,2268816
16/04/2021,63158.74,63520.61,60000,61334.8,5647292670,2639940
15/04/2021,62959.53,63800,62020,63159.98,3248931738,1938028
14/04/2021,63575.01,64854,61301,62959.53,5239081228,2645625
13/04/2021,59860.01,63777.77,59805.15,63575,5154877375,2703735
12/04/2021,59998.8,61300,59350.59,59860,3393042868,1806298
11/04/2021,59769.13,60699,59232.52,60002.43,2462032927,1746102
10/04/2021,58142.55,61500,57900.01,59769.13,4197138552,2470398
9/04/2021,58077.52,58894.9,57654,58142.54,2378340697,1615962
8/04/2021,55953.44,58153.31,55700,58077.52,2531779683,1661080
7/04/2021,57990.03,58655,55473,55953.45,4053294016,2206433
6/04/2021,59129.99,59495.24,57413.02,57991.15,3166911557,1960513
5/04/2021,58202.01,59272,56777.77,59129.99,3155214764,2035877
4/04/2021,57051.95,58492.85,56388,58202.01,2380139011,1499113
3/04/2021,58950.01,59791.72,56880,57051.94,2783151686,1606805
2/04/2021,58720.45,60200,58428.57,58950.01,2811159761,1666356
1/04/2021,58739.46,59490,57935.45,58720.44,2789238880,1594431
31/03/2021,58746.57,59800,56769,58740.55,3575976084,1928224
30/03/2021,57635.46,59368,57071.35,58746.57,3221944107,1612744
29/03/2021,55777.65,58405.82,54800.01,57635.47,3877131110,1983437
28/03/2021,55817.14,56559.75,54691.84,55777.63,2178777329,1551283
27/03/2021,55025.59,56700.36,53950,55817.14,2767070176,1528776
26/03/2021,51293.78,55073.46,51214.6,55025.59,3397036141,1773150
25/03/2021,52303.66,53287,50427.56,51293.78,4536327185,2099425
24/03/2021,54342.8,57200,51700,52303.65,4583159614,2401988
23/03/2021,54083.25,55830.9,53000,54340.89,3264650775,1740349
22/03/2021,57351.56,58430.73,53650,54083.25,3527479514,1927345
21/03/2021,58100.02,58589.1,55450.11,57351.56,2774223130,1773546
20/03/2021,58030.01,59880,57820.17,58102.28,2616535093,1724131
19/03/2021,57641,59468,56270.74,58030.01,3052711148,1885830
18/03/2021,58912.97,60129.97,57023,57648.16,3900885761,2040947
17/03/2021,56900.74,58974.73,54123.69,58912.97,3960992972,2204296
